Columns,Importances,Absolute_Importances,Percentage_Importance
StatusReason_Ready for Audit,23710.147275482737,23710.147275482737,0.23319035148843914
StatusReason_Customer Hold,-13542.323059906726,13542.323059906726,0.13318934874668967
sourcesystem_NEMEC,-10509.598585209522,10509.598585209522,0.10336236884625231
Queue_Broken,8548.021581247634,8548.021581247634,0.0840701718931569
sourcesystem_`,6226.111347323421,6226.111347323421,0.06123408161997374
sourcesystem_web,5758.498994328747,5758.498994328747,0.05663509336029647
sourcesystem_clt,-3818.790537736882,3818.790537736882,0.037557974541828666
StatusReason_Ready for Archiving,-3531.602382835229,3531.602382835229,0.03473346628354037
sourcesystem_Web,-3356.3378846556366,3356.3378846556366,0.0330097321599567
sourcesystem_Aplquest,-2397.2330461636025,2397.2330461636025,0.023576893476854655
Source_Fax,2185.1152840091754,2185.1152840091754,0.021490705865321782
Revenutype_Future OTRRR without OLS,2071.655578876667,2071.655578876667,0.020374824626280187
Revenutype_Disputed Revenue,1947.997502249093,1947.997502249093,0.019158641950646378
sourcesystem_NMEC,-1352.25119516925,1352.25119516925,0.013299450561753592
Revenutype_New Work Sold,1343.6302757053627,1343.6302757053627,0.013214663435947077
SubReason_P&H Electronic Order,-1075.0602499001711,1075.0602499001711,0.010573265304205751
sourcesystem_Moritz Jürgensen,-961.2220710630404,961.2220710630404,0.00945366175947012
StatusReason_Information Provided,-938.3723976656366,938.3723976656366,0.009228934206788643
CountrySource_other,870.4784839904544,870.4784839904544,0.008561194550434309
SalesLocation_other,-653.9393803524438,653.9393803524438,0.00643152284904623
Source_eAgreement (Ele),561.1368661306213,561.1368661306213,0.005518806000054956
SubReason_Tax Exemption Order,534.9561000138041,534.9561000138041,0.005261317002534888
CountrySource_southamerica,459.6389863521041,459.6389863521041,0.004520569844628044
SalesLocation_southamerica,-338.2586368466399,338.2586368466399,0.003326788716400425
Queue_E&E,-326.1044368003202,326.1044368003202,0.0032072516191427956
CountryProcessed_other,296.46361375371544,296.46361375371544,0.0029157328080474452
CountrySource_australia,288.5921945343137,288.5921945343137,0.0028383170504328492
Revenutype_Future OTRRR with OLS,280.00189098327996,280.00189098327996,0.002753831033488985
ROCName_APOC,-274.4845478093927,274.4845478093927,0.0026995677183331364
sourcesystem_CLT,-264.1886890299523,264.1886890299523,0.002598307489969407
CountrySource_northamerica,259.9455502701832,259.9455502701832,0.002556576031817398
Queue_APOC,253.00817693224093,253.00817693224093,0.00248834665693055
Revenutype_Revenue Impacting Case / Pending Revenue,237.5917158359894,237.5917158359894,0.0023367250773606886
CountryProcessed_australia,-225.88663618985754,225.88663618985754,0.0022216050991856018
Source_Manual,222.1437911689661,222.1437911689661,0.0021847940521749014
SalesLocation_northamerica,-216.1295220956469,216.1295220956469,0.002125643448728268
SubReason_Future Pricing Only CPS,156.41913084103382,156.41913084103382,0.0015383890988333892
Queue_LOC,-155.54173611608272,155.54173611608272,0.0015297598827459372
Revenutype_Credit / Rebill,149.06587259859,149.06587259859,0.001466069477440155
Revenutype_Revenue Unknown,141.55843861804496,141.55843861804496,0.0013922335308153187
SalesLocation_australia,-137.594457714262,137.594457714262,0.001353247602575116
CountrySource_europe,96.38283587173105,96.38283587173105,0.0009479294714302402
Source_Hard Copy,88.64957293751209,88.64957293751209,0.0008718724870163246
CountrySource_asia,80.57496511486394,80.57496511486394,0.000792458360464625
CountryProcessed_europe,-70.79490666458558,70.79490666458558,0.0006962710512463418
IsMagnumCase,69.5933057004535,69.5933057004535,0.0006844532523976376
StatusReason_Completed,-68.8148024938334,68.8148024938334,0.0006767966387850206
IsSOXCase,-68.35341117864077,68.35341117864077,0.0006722588347084201
Priority,61.889863814813985,61.889863814813985,0.000608689559320937
StatusReason_Problem Solved,-55.128525032737336,55.128525032737336,0.0005421914921092155
Queue_NAOC,-38.00102980862145,38.00102980862145,0.00037374181589998876
SubReason_Electronic Order Pend / Reject,-36.935790374312795,36.935790374312795,0.0003632651387532955
Source_eAgreement (Phy),30.312224946490918,30.312224946490918,0.0002981220785995702
CountryProcessed_northamerica,-27.745285849927022,27.745285849927022,0.0002728761185799075
CountryProcessed_asia,-25.352289992677235,25.352289992677235,0.0002493408980442057
SubReason_Zero Usage Order,25.020255761556317,25.020255761556317,0.00024607532663456104
