Queue,RevenuType,Program,Reason,CountryProcessed,time_to_complete
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,Canada,559.0
<VL NAOC Order Rework>,Credit / Rebill,Enterprise,Order Transaction Request,United States,6319.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,569.0
<VL AOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,United States,4300.0
<VL NAOC Orders>,Future Billing,Enterprise,Order Transaction Request,United States,5905.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,408.0
<VL NAOC Order Rework>,Credit / Rebill,Enterprise,Order Transaction Request,United States,5724.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,4636.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,7602.0
<VL NAOC Order Rework>,Credit / Rebill,Enterprise,Order Transaction Request,United States,1340.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,5699.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,162.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,3905.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,3916.0
<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States,5493.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,7297.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,1471.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,5256.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,5247.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,4540.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,4532.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,4557.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,5267.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,5271.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,5263.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,4533.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,1280.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,5258.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,5284.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,5346.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,4508.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,4544.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,5268.0
<VL AOC SMS&P Processing>,Current Revenue,OV/OVS,Order Transaction Request,United States,4434.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,4502.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Hungary,607.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Hungary,361.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Greece,1517.0
<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States,4558.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Finland,2697.0
<VL AOC SMS&P Processing>,Revenue Unknown,OV/OVS,Order Transaction Request,United States,4960.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Finland,2662.0
<VL NAOC Electronic Orders>,Non-revenue,Not Program Specific,Order Transaction Request,Canada,136.0
<VL NAOC Electronic Orders>,Non-revenue,Campus,Order Transaction Request,United States,3147.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Finland,2680.0
<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States,4387.0
<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States,4380.0
<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States,4346.0
<VL AOC SMS&P Processing>,Current Revenue,OV/OVS,Order Transaction Request,United States,4353.0
<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States,4293.0
<VL AOC SMS&P Processing>,Current Revenue,OV/OVS,Order Transaction Request,United States,4863.0
<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States,4294.0
<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States,4273.0
<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States,3541.0
<VL NAOC Electronic Orders>,Non-revenue,Enterprise,Order Transaction Request,Canada,3293.0
<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States,4225.0
<VL AOC SMS&P Processing>,Current Revenue,OV/OVS,Order Transaction Request,United States,4222.0
<VL NAOC Order Rework>,Current Revenue,Enterprise,Order Transaction Request,United States,3492.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Slovenia,4252.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Saudi Arabia,6048.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Saudi Arabia,145.0
<VL NAOC Electronic Orders>,Non-revenue,Campus,Order Transaction Request,Canada,1828.0
<VL EOC Enterprise Orders and Adjustments>,Revenue Unknown,Enterprise,Order Transaction Request,Jordan,5445.0
<VL NAOC Electronic Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,4950.0
<VL NAOC Electronic Orders>,Non-revenue,Enterprise,Order Transaction Request,Canada,3947.0
<VL NAOC Electronic Orders>,Non-revenue,Select,Order Transaction Request,United States,2429.0
<VL NAOC Electronic Orders>,Non-revenue,Campus,Order Transaction Request,Canada,1918.0
<VL NAOC Electronic Orders>,Non-revenue,Campus,Order Transaction Request,United States,3167.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,Canada,1251.0
<VL APOC Enterprise>,Current Revenue,Enterprise,Order Transaction Request,Singapore,3269.0
<VL APOC Enterprise>,Current Revenue,Enterprise,Order Transaction Request,Singapore,3348.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,United Arab Emirates,406.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,France,421.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,United Arab Emirates,3486.0
<VL APOC Enterprise>,Non-revenue,Enterprise,Order Transaction Request,Singapore,2726.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Germany,2857.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Israel,292.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Netherlands,291.0
<VL EOC E&E Non EA Core Processing>,Future Billing,Select Plus,Order Transaction Request,United Kingdom,4670.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Egypt,1807.0
<VL EOC Enterprise Orders and Adjustments>,Revenue Unknown,Enterprise,Order Transaction Request,South Africa,2092.0
<VL APOC Enterprise>,Non-revenue,Enterprise,Order Transaction Request,Singapore,2616.0
<VL EOC Select / Select Plus>,Future Billing,Select Plus,Order Transaction Request,France,1431.0
<VL EOC Select / Select Plus>,Future Billing,Select Plus,Order Transaction Request,France,1356.0
<VL EOC Select / Select Plus>,Future Billing,Select Plus,Order Transaction Request,France,324.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Norway,2955.0
<VL EOC Enterprise Orders and Adjustments>,Revenue Unknown,Enterprise,Order Transaction Request,Spain,1926.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Denmark,1866.0
<VL APOC Enterprise>,Current Revenue,Enterprise,Order Transaction Request,Singapore,3985.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,Canada,334.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,463.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Russia,298.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,Canada,250.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,244.0
<VL AOC E&E EA Core Processing>,Future Billing,Enterprise,Order Transaction Request,United States,1880.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,1836.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,United Kingdom,4491.0
<VL EOC Enterprise Orders and Adjustments>,Revenue Unknown,Enterprise,Order Transaction Request,United Arab Emirates,2582.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,France,4015.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Israel,4368.0
<VL LOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,621.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,South Africa,4431.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,363.0
<VL AOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,United States,418.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,64.0
<VL NAOC Orders>,Future Billing,Enterprise,Order Transaction Request,United States,495.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,348.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,323.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,504.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,496.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,537.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,519.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,660.0
<VL NAOC Rework>,Current Revenue,Enterprise,Order Transaction Request,United States,972.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,682.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,540.0
<VL NAOC Orders>,Future Billing,Enterprise,Order Transaction Request,United States,1787.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,487.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,541.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,1359.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,473.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,1184.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,475.0
<VL NAOC Electronic Orders>,Non-revenue,Enterprise,Order Transaction Request,Canada,4173.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,481.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,1465.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,1221.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,498.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,543.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,205.0
<VL AOC Ops Out>,Non-revenue,Enterprise,OLS Forms,United States,2594.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,421.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,502.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,1250.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,1214.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,480.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,1200.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,1010.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,960.0
<VL APOC Enterprise>,Non-revenue,Enterprise,Order Transaction Request,Singapore,3737.0
<VL APOC Enterprise>,Future Billing,Enterprise,Order Transaction Request,Singapore,2038.0
<VL APOC Ops Out>,Current Revenue,Select Plus,Order Transaction Request,Singapore,3031.0
<VL APOC Enterprise>,Current Revenue,Enterprise,Order Transaction Request,Singapore,2057.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,20225.0
<VL NAOC Order Rework>,Current Revenue,Enterprise,Order Transaction Request,United States,3780.0
<VL APOC Enterprise>,Current Revenue,Enterprise,Order Transaction Request,Malaysia,1758.0
<VL APOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Singapore,2922.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,United Arab Emirates,296.0
<VL APOC Ops Out>,Current Revenue,SPLA,Order Transaction Request,India,1464.0
<VL APOC Enterprise>,Future Billing,Enterprise,Order Transaction Request,Singapore,3736.0
<VL APOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Singapore,2852.0
<VL EOC Enterprise Orders and Adjustments>,Future Billing,Enterprise,Order Transaction Request,Norway,1714.0
<VL APOC Ops Out>,Current Revenue,Select Plus,Order Transaction Request,Singapore,2712.0
<VL EOC Enterprise Orders and Adjustments>,Revenue Unknown,Enterprise,Order Transaction Request,Hungary,675.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Russia,618.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,France,1441.0
<VL APOC Enterprise>,Non-revenue,Enterprise,Order Transaction Request,Singapore,3224.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,South Africa,2074.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Belgium,211.0
<VL EOC CASA>,Current Revenue,Campus,Order Transaction Request,South Africa,1694.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,United Kingdom,1832.0
<VL EOC Select / Select Plus>,Future Billing,Select Plus,Order Transaction Request,France,344.0
<VL EOC Enterprise Orders and Adjustments>,Revenue Unknown,Enterprise,Order Transaction Request,Greece,2728.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,347.0
<VL EOC Enterprise Orders and Adjustments>,Revenue Unknown,Enterprise,Order Transaction Request,United Kingdom,1234.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Norway,1321.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,467.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,France,98.0
<VL NAOC Orders>,Future Billing,Enterprise,Order Transaction Request,United States,3080.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,555.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,248.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,685.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,1181.0
<VL EOC Enterprise Orders and Adjustments>,Revenue Unknown,Enterprise,Order Transaction Request,Netherlands,1668.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,1757.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,289.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,275.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,1436.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,1408.0
<VL EOC Enterprise Orders and Adjustments>,Revenue Unknown,Enterprise,Order Transaction Request,Portugal,155.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,United Kingdom,1293.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Angola,1325.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,2371.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,Canada,368.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,374.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,166.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,515.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,244.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,662.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,190.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,110.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,426.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,333.0
<VL LOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,447.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,175.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,2593.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,459.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,1931.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,1317.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,983.0
<VL APOC Ops Out>,Future Billing,Enterprise,Order Transaction Request,Singapore,1692.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,947.0
<VL APOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Singapore,1488.0
<VL AOC SMS&P Processing>,Non-revenue,Not Program Specific,Order Transaction Request,United States,184.0
<VL APOC Enterprise>,Future Billing,Enterprise,Order Transaction Request,Singapore,1391.0
<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States,137.0
<VL APOC CASA>,Credit / Rebill,Campus,Order Transaction Request,Singapore,2760.0
<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States,1548.0
<VL APOC Enterprise>,Non-revenue,Enterprise,Order Transaction Request,Singapore,1530.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Kenya,261.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,South Africa,297.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,South Africa,283.0
<VL AOC SMS&P Processing>,Non-revenue,OV/OVS,Order Transaction Request,United States,83.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Germany,144.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Italy,139.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Egypt,88.0
<VL EOC CASA>,Non-revenue,School,Order Transaction Request,United Kingdom,124.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Switzerland,250.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Switzerland,144.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Germany,128.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,France,1756.0
<VL EOC CASA>,Non-revenue,School,Order Transaction Request,Russia,114.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Austria,433.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Italy,1453.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,United Kingdom,1492.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,Canada,248.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,303.0
<VL NAOC Orders>,Future Billing,Enterprise,Order Transaction Request,United States,850.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,680.0
<VL AOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,United States,787.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,248.0
<VL EOC CASA>,Non-revenue,School,Order Transaction Request,Russia,115.0
<VL EOC CASA>,Non-revenue,Campus,Order Transaction Request,United Kingdom,767.0
<VL AOC SMS&P Processing>,Current Revenue,Open License,Order Transaction Request,Canada,18081.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,192.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,224.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,433.0
<VL NAOC Orders>,Future Billing,Enterprise,Order Transaction Request,United States,599.0
<VL NAOC Orders>,Future Billing,Enterprise,Order Transaction Request,United States,604.0
<VL NAOC Order Rework>,Credit / Rebill,Enterprise,Order Transaction Request,United States,424.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,288.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,Canada,2023.0
<VL NAOC Enterprise Agreements>,Non-revenue,Enterprise,Order Transaction Request,United States,11620.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,969.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,921.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,435.0
<VL APOC Enterprise>,OTRRR with OLS,Enterprise,Order Transaction Request,Singapore,52.0
<VL NAOC Electronic Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,2031.0
<VL APOC Enterprise>,Current Revenue,Enterprise,Order Transaction Request,Singapore,824.0
<VL APOC Enterprise>,Current Revenue,Enterprise,Order Transaction Request,Singapore,2091.0
<VL NAOC Electronic Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,1380.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Turkey,657.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Norway,69.0
<VL EOC Enterprise Orders and Adjustments>,Credit / Rebill,Enterprise,Order Transaction Request,Italy,378.0
<VL NAOC Electronic Orders>,Non-revenue,Enterprise,Order Transaction Request,Ecuador,112.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Austria,510.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Italy,430.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,France,397.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Italy,393.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Germany,420.0
<VL APOC Enterprise>,Current Revenue,Enterprise,Order Transaction Request,Singapore,355.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,320.0
<VL EOC Enterprise Data Entry>,Revenue Unknown,Enterprise,Order Transaction Request,Italy,166.0
<VL Default E&E Transactions>,Non-revenue,Enterprise,Order Transaction Request,Qatar,1424.0
<VL EOC Ops Out>,Revenue Unknown,Enterprise,Order Transaction Request,Austria,23261.0
<VL EOC Enterprise Orders and Adjustments>,Revenue Unknown,Enterprise,Order Transaction Request,United Kingdom,3305.0
<VL APOC Enterprise>,Current Revenue,Enterprise,Order Transaction Request,Singapore,470.0
<VL APOC Ops Out>,Non-revenue,Enterprise,Order Transaction Request,Singapore,9922.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Finland,14630.0
<VL APOC Ops Out>,Non-revenue,Enterprise,Order Transaction Request,Singapore,9821.0
<VL APOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Singapore,9744.0
<VL APOC Enterprise>,Current Revenue,Enterprise,Order Transaction Request,Singapore,1720.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,South Africa,540.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Germany,17774.0
<VL APOC Ops Out>,Non-revenue,Enterprise,Order Transaction Request,Singapore,12817.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Germany,20343.0
<VL APOC Enterprise>,Current Revenue,Enterprise,Order Transaction Request,India,1568.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Germany,4825.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Germany,20342.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Italy,1843.0
<VL APOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Singapore,21306.0
<VL APOC Enterprise>,Current Revenue,Enterprise,Order Transaction Request,Singapore,1262.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Belgium,10515.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,United Kingdom,10157.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,6649.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,Germany,2743.0
<VL EOC Enterprise Orders and Adjustments>,Revenue Unknown,Enterprise,Order Transaction Request,Côte d?Ivoire,1590.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,20704.0
<VL NAOC Rework>,Non-revenue,Enterprise,OLS Forms,Canada,1580.0
<VL EOC Enterprise Orders and Adjustments>,Non-revenue,Enterprise,Order Transaction Request,United Kingdom,4187.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,2027.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,3316.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,13724.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,14442.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,11999.0
<VL EOC Enterprise Orders and Adjustments>,Current Revenue,Enterprise,Order Transaction Request,Israel,11323.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Austria,13131.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,8959.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,14534.0
<VL NAOC Orders>,Non-revenue,Enterprise,Order Transaction Request,United States,8961.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,Italy,21820.0
<VL NAOC Orders>,Future Billing,Enterprise,Order Transaction Request,United States,21977.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,13624.0
<VL EOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,France,14397.0
<VL NAOC Orders>,Current Revenue,Enterprise,Order Transaction Request,United States,10357.0
<VL AOC Outbound Shipping>,Current Revenue,Enterprise,Order Transaction Request,United States,11447.0
<VL AOC Ops Out>,Current Revenue,Enterprise,Order Transaction Request,United States,9005.0
